@relation 'cooperative'
@attribute TIME numeric
@attribute TYPE numeric
@attribute NODEID numeric
@attribute CAPACITY numeric
@attribute RATE numeric
@attribute BSDISTANCE numeric
@attribute R1DISTANCE numeric
@attribute R2DISTANCE numeric
@attribute R3DISTANCE numeric
@attribute R4DISTANCE numeric
@attribute R5DISTANCE numeric
@attribute selected {0, 1, 2, 3, 4, 5}
@data
0,0,1,50000,0,0,0,0,0,0,0,0
0,1,2,500,0,0,0,0,0,0,0,0
0,1,3,500,0,0,0,0,0,0,0,0
0,1,4,500,0,0,0,0,0,0,0,0
0,1,5,500,0,0,0,0,0,0,0,0
0,1,6,500,0,0,0,0,0,0,0,0
0,2,7,15.716,5.0776,1365.6,22.667,327.51,382.76,0,176.35,0
0,2,8,15.953,0,633.3,449.79,314.86,279.24,0,0,0
0,2,9,16.639,22.78,955.67,480.28,0,192.37,604.84,78.539,2
0,2,10,16.592,7.0863,1246.1,568.11,815.95,240.48,703.28,305.53,0
0,2,11,13.166,0,844.13,399.96,178.51,188.77,90.971,211.52,0
0,2,12,19.095,13.494,1617.6,79.366,362.21,53.925,454.06,66.315,0
0,2,13,18.034,14.95,878.99,223.96,264.21,0,95.039,93.067,0
0,2,14,9.0707,7.9433,1260.8,393.91,161.89,612.82,503.73,395.89,0
0,2,15,9.0488,21.357,1168.7,86.572,623.58,362.4,545.28,247.85,1
0,2,16,8.8092,11.212,1062.5,0,21.377,287.01,153.86,112.01,1
0,2,17,16.01,4.6789,816.11,224.66,867.62,386.23,512.62,557.92,0
0,2,18,18.415,10.904,1244.4,305.57,131.11,615.8,86.362,694.07,0
0,2,19,17.505,37.016,698.33,346.45,180.67,163.76,686.41,439.58,3
0,2,20,8.5343,8.1767,811.21,288.77,530.4,497.17,316.07,84.733,0
0,2,21,19.391,8.6493,1052.5,0,0,587.59,94.028,314.56,0
0,2,22,19.413,28.458,1287.6,618.24,422.71,587.55,440.98,495.88,2
0,2,23,11.359,10.922,740.31,125,268.9,663.35,49.169,159.04,0
0,2,24,15.729,26.754,1438.6,123.36,365.49,488.5,320.98,0,5
0,2,25,17.165,22.863,1067.4,218.54,237.05,398.47,0,483.85,4
0,2,26,14.486,31.776,774.58,0,439.35,322.36,101.76,0,5
0,2,27,15.063,18.73,922.8,395.23,317.84,0,476.4,235.81,3
0,2,28,13.863,34.89,1103.1,0,581.05,447.41,720.64,731.25,1
0,2,29,15.58,14.172,795.95,308.07,258.79,471.12,841.14,91.863,0
0,2,30,8.0747,30.609,554.08,0,150.18,452.52,0,69.761,4
0,2,31,17.46,17.521,1168.6,0,184.55,0,384.02,163.01,3
0,2,32,14.995,13.809,1007,29.678,296.17,275.56,268.82,0,0
0,2,33,17.509,15.425,945.04,359.81,191.61,806.58,315.02,332.98,0
0,2,34,8.9193,11.168,962.41,0,0,152.27,0,0,5
0,2,35,14.242,22.103,1317.7,217.1,267.18,454.42,459.26,340.66,1
0,2,36,19.867,18.542,451.85,198.79,477.03,0,367.32,247.53,0
0,2,37,13.693,7.3839,803.36,334.45,162.28,692.07,341.49,463.66,0
0,2,38,8.8152,10.419,895.46,704.92,0,31.183,296.17,723.64,2
0,2,39,13.525,16.615,881.01,147.88,471.27,529.26,346.58,418.06,1
0,2,40,16.245,25.163,1294.2,443.49,249.34,401.17,677.23,0,5
0,2,41,12.627,19.256,1058.2,95.971,172.71,203.64,178.61,312.83,1
0,2,42,11.703,19.993,709.76,222.43,292.03,477.27,347.16,517.51,1
0,2,43,9.8863,3.5894,1189.5,0,552.4,274.87,633.07,260.23,0
0,2,44,8.9161,30.562,1026.6,272.32,197.49,139.25,126.42,248.36,4
0,2,45,19.094,0,781.36,331.45,51.461,363.34,919.52,283.64,0
0,2,46,19.728,5.7602,1226.9,450.79,334.88,0,1.3833,892.38,0
0,2,47,19.127,19.566,998.01,326.68,196.27,529.85,599.96,513.54,2
0,2,48,15.679,17.122,1169.9,296.27,280.01,450.02,0,0,5
0,2,49,9.4686,24.777,996.58,51.716,56.875,614.31,353.19,34.491,5
0,2,50,18.434,10.542,1110.9,0,29.56,450.81,0,246.9,0
0,2,51,4.568,4.4213,1475.9,0,6.3483,559.12,821.31,20.379,0
0,2,52,6.0335,16.444,1196,238.5,0,181.53,165.77,312.54,2
0,2,53,16.302,24.78,782.35,478.51,412.99,0,278.67,70.512,3
0,2,54,16.243,26.349,838.55,148.73,184.75,0,573.7,392.02,3
0,2,55,17.991,16.758,990.78,579.08,530.33,0,600.9,429.97,0
0,2,56,17.445,19.975,863.61,75.05,281.44,117.57,245.44,638.84,1
0,3,57,0,2,1871.2,386.17,779.31,274.23,0,1304.3,4
0,3,58,0.99457,2,1007.2,878.74,864.05,1276.3,0,0,5
0,3,59,0,2,1348.1,706.95,0,786.04,310.21,169.88,2
0,3,60,0,2,1662,-118.4,114.43,386.36,263.71,1009.3,1
0,3,61,0.94851,2,1845.4,-136.21,-552.1,-525.35,743.04,557.7,2
0,3,62,1.2096,2,1980.9,845.52,371.4,36.103,198.52,839.53,3
0,3,63,0,2,1264.8,1060.9,1036.5,0,907.99,62.917,3
0,3,64,0,2,1064.5,244.78,820.89,-208.76,705.01,1306.7,3
0,3,65,0,2,1437.4,1131.8,-136.6,1073.7,809,-83.539,2
0,3,66,0,2,2015.6,0,262.65,-125.17,586.09,306.08,3
0,3,67,0.10585,2,1597.9,645.55,926.71,845.68,265.71,1030.2,4
0,3,68,0,2,1754.9,1319.9,-107.28,985.63,179.89,431.14,2
0,3,69,0,2,562.59,671.48,1301.7,579.98,65.63,588.78,4
0,3,70,0,2,869.75,637.46,947.72,188.49,578.09,-116.12,5
0,3,71,3.3857,2,1398.5,0,0,133.4,1713.2,576.89,0
0,3,72,0.74828,2,975.25,342.58,234.31,51.874,-194.97,67.314,4
0,3,73,0,2,2023.8,1427.4,1865.3,347.01,120.55,411.64,4
0,3,74,3.4264,2,2152.8,369.82,618.14,-164.87,409.95,0,0
0,3,75,0,2,1370.7,702.89,-421.74,397.97,0,989.85,2
0,3,76,0,2,731.63,0,718.24,1385.7,-52.413,0,4
0,3,77,1.0966,2,1858.6,293.1,870.93,0,16.704,396.24,3
0,3,78,0,2,2476,0,1564.8,302,1081.5,1583.4,1
0,3,79,0.90843,2,1166.7,410.26,423.96,138.22,234.52,1272.3,3
0,3,80,0,2,728.49,0,856.77,-109.37,0,863.7,3
0,3,81,0,2,1578.3,0,1190.7,0,481.66,45.079,3
0,3,82,0,2,1977.1,854.76,249.01,275.47,676.58,0,5
0,3,83,0,2,2459,275.58,798.15,1502.6,528.56,907.28,1
0,3,84,3.8713,2,2477.3,0,0,366.06,0,0,0
0,3,85,2.7133,2,1766.9,1132.3,557.46,542.91,1202.5,422.15,0
0,3,86,0,2,1223.3,856.62,477.78,0,-531.06,1045.8,4
0,3,87,1.8061,2,1716.1,229.76,853.07,702.99,979.32,-280.05,5
0,3,88,0.64965,2,1805.8,817.56,0,302.87,422.15,1626.5,2
0,3,89,2.6042,2,1626.5,410.86,1387.3,1011.4,185.55,869.71,0
0,3,90,0,2,1750.9,289.79,76.099,873.03,33.372,0,5
0,3,91,1.6477,2,1535.4,697.92,674.08,827.57,-243.87,-334.56,5
0,3,92,0,2,1823.6,307.3,293.55,288.14,1118.6,401.8,3
0,3,93,0.1663,2,1448.3,0,1370.2,558.6,423.03,440.07,1
0,3,94,0,2,1409.4,1165,729.11,1096.7,-19.808,1165.7,4
0,3,95,2.5342,2,1771.7,271.99,727.32,653.72,717.97,1148.2,0
0,3,96,2.1884,2,666.43,-45.377,806.25,0,638.65,524.38,0
0,3,97,2.3272,2,2031.4,1007.8,688.07,451.22,950.3,526.72,0
0,3,98,0,2,1514.9,445.83,205.66,57.23,0,0,5
0,3,99,0,2,1257.8,397.66,1185.7,155.04,495.93,909.98,3
0,3,100,2.4626,2,2523.2,0,977.97,217.14,0,476,0
0,3,101,0,2,1068.4,0,-178.74,660.63,88.274,196.4,2
0,3,102,3.0315,2,1781.2,-203.22,0,497.89,1036.8,733.43,0
0,3,103,3.7915,2,1373.4,-33.084,1006.4,0,-379.58,715.48,0
0,3,104,3.9554,2,1668.4,837.71,631.79,0,-521.96,1212.9,0
0,3,105,3.3404,2,1285.4,153.54,648.63,0,376.44,92.11,0
0,3,106,0,2,1626.7,220.51,673.09,84.53,324.35,-512.72,5
1,0,1,50000,0,0,0,0,0,0,0,0
1,1,2,500,0,0,0,0,0,0,0,0
1,1,3,500,0,0,0,0,0,0,0,0
1,1,4,500,0,0,0,0,0,0,0,0
1,1,5,500,0,0,0,0,0,0,0,0
1,1,6,500,0,0,0,0,0,0,0,0
1,2,7,13.145,16.511,1217.9,116.96,84.884,61.445,317.16,837.42,3
1,2,8,18.821,19.802,1027,200.37,0,0,392.67,0,5
1,2,9,14.606,11.042,946.95,0,0,526.39,432.01,418.75,0
1,2,10,19.334,17.536,776.04,379.25,0,321.66,188.06,301.46,0
1,2,11,8.1305,26.659,926.27,349.83,140.9,353.1,156.57,703.73,2
1,2,12,19.294,13.863,1324.7,340.39,325.08,0,348.79,0,0
1,2,13,18.82,17.998,721.26,57.484,331.74,498.98,134.76,336.76,0
1,2,14,19.156,10.194,808.45,231.35,25.978,209.75,502.74,333.65,0
1,2,15,19.842,17.379,1056.2,228.28,0,306.18,0,728.08,0
1,2,16,15.829,20.568,1046.3,61.845,0,0,830,570.49,3
1,2,17,15.216,15.489,1307,323.81,579.72,8.1585,328.84,405.99,3
1,2,18,14.309,0,820.76,341.29,560.62,267.46,220.38,316.01,0
1,2,19,6.1949,23.156,880.54,487.86,365.8,0,31.701,367.84,3
